id,title,source_original,current_payment_status,current_stripe_payment_link,new_payment_status,new_stripe_payment_link,action,validation_result,notes
dake_image_iphonetopc,Dake画像iPhoneToPC,01_apps/DAKE_Image_iPhoneToPC/ORIGINAL.md,stripe_ready,https://buy.stripe.com/cNicN5fMlgML9WE1fj0gw0k,stripe_ready,https://buy.stripe.com/cNicN5fMlgML9WE1fj0gw0k,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_image_receiver,DakeImage_Receiver,01_apps/DAKE_Image_Receiver/ORIGINAL.md,stripe_ready,https://buy.stripe.com/28E4gz6bLdAz3yg1fj0gw0l,stripe_ready,https://buy.stripe.com/28E4gz6bLdAz3yg1fj0gw0l,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_image_topdf,DakeImageToPDF,01_apps/DAKE_Image_ToPDF/ORIGINAL.md,stripe_ready,https://buy.stripe.com/8x25kDas13ZZd8Q7DH0gw0m,stripe_ready,https://buy.stripe.com/8x25kDas13ZZd8Q7DH0gw0m,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_launcher,Dakeランチャー,01_apps/DAKE_Launcher/ORIGINAL.md,stripe_ready,https://buy.stripe.com/8x228r8jTgML5GoaPT0gw0n,stripe_ready,https://buy.stripe.com/8x228r8jTgML5GoaPT0gw0n,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_mail_allstaff,Dake全社員メール起動,01_apps/DAKE_Mail_AllStaff/ORIGINAL.md,stripe_ready,https://buy.stripe.com/5kQ9ATgQp0NN5Go6zD0gw0o,stripe_ready,https://buy.stripe.com/5kQ9ATgQp0NN5Go6zD0gw0o,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_mail_kikuta,Dake菊田メール,01_apps/DAKE_Mail_Kikuta/ORIGINAL.md,stripe_ready,https://buy.stripe.com/4gM9ATas1cwvc4M4rv0gw0p,stripe_ready,https://buy.stripe.com/4gM9ATas1cwvc4M4rv0gw0p,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_mail_list,Dakeメールリスト,01_apps/DAKE_Mail_List/ORIGINAL.md,stripe_ready,https://buy.stripe.com/aFaeVd8jTdAz4Ck2jn0gw0q,stripe_ready,https://buy.stripe.com/aFaeVd8jTdAz4Ck2jn0gw0q,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_mansion_schedule,マンション工程表,01_apps/DAKE_Mansion_Schedule/ORIGINAL.md,stripe_ready,https://buy.stripe.com/bJefZh57H7cb7OwcY10gw0r,stripe_ready,https://buy.stripe.com/bJefZh57H7cb7OwcY10gw0r,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_pdf_checkstamp,Dake確認印,01_apps/DAKE_PDF_CheckStamp/ORIGINAL.md,stripe_ready,https://buy.stripe.com/fZu7sLfMl1RRb0I2jn0gw0s,stripe_ready,https://buy.stripe.com/fZu7sLfMl1RRb0I2jn0gw0s,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_pdf_crop,DakePDFトリミング,01_apps/DAKE_PDF_Crop/ORIGINAL.md,stripe_ready,https://buy.stripe.com/00w7sL43D6877Ow4rv0gw0t,stripe_ready,https://buy.stripe.com/00w7sL43D6877Ow4rv0gw0t,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_pdf_lookhere,DakePDFここ見て,01_apps/DAKE_PDF_LookHere/ORIGINAL.md,stripe_ready,https://buy.stripe.com/bJe9AT6bL2VV0m46zD0gw0u,stripe_ready,https://buy.stripe.com/bJe9AT6bL2VV0m46zD0gw0u,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_pdf_marker,DakePDFマーカー,01_apps/DAKE_PDF_Marker/ORIGINAL.md,stripe_ready,https://buy.stripe.com/fZu8wP2ZzeED3yg3nr0gw0v,stripe_ready,https://buy.stripe.com/fZu8wP2ZzeED3yg3nr0gw0v,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_pdf_merge_mini,DakePDF結合mini,01_apps/DAKE_PDF_Merge_Mini/ORIGINAL.md,stripe_ready,https://buy.stripe.com/00w6oH57H6870m48HL0gw0w,stripe_ready,https://buy.stripe.com/00w6oH57H6870m48HL0gw0w,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_pdf_rename,DakePDFファイル名整理,01_apps/DAKE_PDF_Rename/ORIGINAL.md,stripe_ready,https://buy.stripe.com/aFa7sLgQp9kj1q85vz0gw0x,stripe_ready,https://buy.stripe.com/aFa7sLgQp9kj1q85vz0gw0x,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_pdf_reorder,DakePDFページ並べ替え,01_apps/DAKE_PDF_Reorder/ORIGINAL.md,stripe_ready,https://buy.stripe.com/14AcN5fMldAzc4Mgad0gw0y,stripe_ready,https://buy.stripe.com/14AcN5fMldAzc4Mgad0gw0y,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_pdf_splitone,DakePDF分割One,01_apps/DAKE_PDF_SplitOne/ORIGINAL.md,stripe_ready,https://buy.stripe.com/28E14ndEd7cb0m47DH0gw0z,stripe_ready,https://buy.stripe.com/28E14ndEd7cb0m47DH0gw0z,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_pdf_splitselect,DakePDF分割Select,01_apps/DAKE_PDF_SplitSelect/ORIGINAL.md,stripe_ready,https://buy.stripe.com/3cI00j6bL8gf8SAcY10gw0A,stripe_ready,https://buy.stripe.com/3cI00j6bL8gf8SAcY10gw0A,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_pdf_toimages,DakePDFto画像,01_apps/DAKE_PDF_ToImages/ORIGINAL.md,stripe_ready,https://buy.stripe.com/aFadR96bL5435GobTX0gw0B,stripe_ready,https://buy.stripe.com/aFadR96bL5435GobTX0gw0B,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_pdf_viewer,DakePDF見る,01_apps/DAKE_PDF_Viewer/ORIGINAL.md,stripe_ready,https://buy.stripe.com/cNi8wPcA9dAzc4M0bf0gw0C,stripe_ready,https://buy.stripe.com/cNi8wPcA9dAzc4M0bf0gw0C,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_price_apportionment,Dake価格按分,01_apps/DAKE_Price_Apportionment/ORIGINAL.md,stripe_ready,https://buy.stripe.com/dRm3cvcA9543d8QcY10gw0D,stripe_ready,https://buy.stripe.com/dRm3cvcA9543d8QcY10gw0D,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_price_fixedtax,Dake固都税計算,01_apps/DAKE_Price_FixedTax/ORIGINAL.md,stripe_ready,https://buy.stripe.com/bJefZh9nX7cbfgYgad0gw0E,stripe_ready,https://buy.stripe.com/bJefZh9nX7cbfgYgad0gw0E,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_reform_progress,リフォーム進捗管理,01_apps/DAKE_Reform_Progress/ORIGINAL.md,stripe_ready,https://buy.stripe.com/00waEXcA9687ecU0bf0gw0F,stripe_ready,https://buy.stripe.com/00waEXcA9687ecU0bf0gw0F,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_screen_webp,DakeScreen_WebP,01_apps/DAKE_Screen_WebP/ORIGINAL.md,stripe_ready,https://buy.stripe.com/3cIaEXas1cwv0m49LP0gw0G,stripe_ready,https://buy.stripe.com/3cIaEXas1cwv0m49LP0gw0G,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_screenshot_print,Dakeスクショ印刷,01_apps/DAKE_Screenshot_Print/ORIGINAL.md,stripe_ready,https://buy.stripe.com/dRmeVd57H5435GobTX0gw0H,stripe_ready,https://buy.stripe.com/dRmeVd57H5435GobTX0gw0H,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_two_person_memo,Dake二人メモ,01_apps/DAKE_TwoPerson_Memo/ORIGINAL.md,stripe_ready,https://buy.stripe.com/28EeVdas1eED1q8e250gw0I,stripe_ready,https://buy.stripe.com/28EeVdas1eED1q8e250gw0I,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_work_calendar,Dake工程カレンダー,01_apps/DAKE_Work_Calendar/ORIGINAL.md,stripe_ready,https://buy.stripe.com/eVq7sLdEd9kjb0I1fj0gw0J,stripe_ready,https://buy.stripe.com/eVq7sLdEd9kjb0I1fj0gw0J,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_year_age,Dake築年数,01_apps/DAKE_Year_Age/ORIGINAL.md,stripe_ready,https://buy.stripe.com/3cIfZh6bL2VV5Go9LP0gw0K,stripe_ready,https://buy.stripe.com/3cIfZh6bL2VV5Go9LP0gw0K,already_same,ok,Already contains the live Payment Link and stripe_ready status
dake_year_notice,Dake今年の注意点,01_apps/DAKE_Year_Notice/ORIGINAL.md,stripe_ready,https://buy.stripe.com/28E7sLas1aonecU5vz0gw0L,stripe_ready,https://buy.stripe.com/28E7sLas1aonecU5vz0gw0L,already_same,ok,Already contains the live Payment Link and stripe_ready status
game_alien_road,DakeAlien Road,01_apps/DAKE_Game_Alien_Road/ORIGINAL.md,stripe_ready,https://buy.stripe.com/8x2bJ1eIhfIH9WE7DH0gw0M,stripe_ready,https://buy.stripe.com/8x2bJ1eIhfIH9WE7DH0gw0M,already_same,ok,Already contains the live Payment Link and stripe_ready status
game_diver_catch,Dake潜って捕る,01_apps/DAKE_Game_Diver_Catch/ORIGINAL.md,stripe_ready,https://buy.stripe.com/dRm5kD43DeED6Ks3nr0gw0N,stripe_ready,https://buy.stripe.com/dRm5kD43DeED6Ks3nr0gw0N,already_same,ok,Already contains the live Payment Link and stripe_ready status
